number,llb,lub,value
304,3500000,4000000,0.4492099532583502
305,3500000,4000000,0.4492099532583502
306,3500000,4000000,0.4492099532583502
307,3500000,4000000,0.4492099532583502
308,3000000,3500000,0.08806142201069916
309,3500000,4000000,0.4492099532583502
310,4000000,4500000,-0.24325936311903096
311,3500000,4000000,0.4492099532583502
312,3500000,4000000,0.4492099532583502
313,3000000,3500000,0.08806142201069916
314,3500000,4000000,0.4492099532583502
315,3500000,4000000,0.4492099532583502
316,4000000,5500000,-0.7980024982546119
317,3500000,4000000,0.4492099532583502
318,3500000,4000000,0.4492099532583502
319,3000000,3500000,0.08806142201069916
320,3500000,4000000,0.4492099532583502
321,3500000,4000000,0.4492099532583502
322,4000000,4500000,-0.24325936311903096
323,3500000,4000000,0.4492099532583502
324,3500000,4000000,0.4492099532583502
325,3500000,4000000,0.4492099532583502
326,3500000,4000000,0.4492099532583502
327,3000000,3500000,0.08806142201069916
328,3500000,4000000,0.4492099532583502
329,3500000,4500000,0.17061341211788705
330,4000000,4500000,-0.24325936311903096
331,3000000,3500000,0.08806142201069916
332,5000000,5500000,-0.834453876959427
333,3500000,4000000,0.4492099532583502
334,3500000,4000000,0.4492099532583502
335,3500000,4000000,0.4492099532583502
336,3500000,4000000,0.4492099532583502
337,3500000,4000000,0.4492099532583502
338,3500000,4000000,0.4492099532583502
339,3000000,3500000,0.08806142201069916
340,4000000,4500000,-0.24325936311903096
341,3500000,4000000,0.4492099532583502
342,4000000,4500000,-0.24325936311903096
343,3500000,4000000,0.4492099532583502
344,7000000,7500000,0.3874693752706034
345,3500000,4000000,0.4492099532583502
346,3500000,4000000,0.4492099532583502
347,3500000,4000000,0.4492099532583502
348,3500000,4000000,0.4492099532583502
349,4000000,4500000,-0.24325936311903096
350,3000000,3500000,0.08806142201069916
351,3500000,4000000,0.4492099532583502
352,3500000,4000000,0.4492099532583502
353,3500000,4000000,0.4492099532583502
354,3000000,3500000,0.08806142201069916
355,3500000,4000000,0.4492099532583502
356,3500000,5500000,-0.3819326821275928
357,3500000,4500000,0.17061341211788705
358,3500000,4000000,0.4492099532583502
359,4000000,4500000,-0.24325936311903096
360,3000000,3500000,0.08806142201069916
361,3500000,4000000,0.4492099532583502
362,3500000,4000000,0.4492099532583502
363,3500000,4000000,0.4492099532583502
364,3000000,3500000,0.08806142201069916
365,3500000,4000000,0.4492099532583502
366,3500000,4000000,0.4492099532583502
367,4000000,4500000,-0.24325936311903096
368,3500000,4000000,0.4492099532583502
369,3500000,4000000,0.4492099532583502
370,4000000,4500000,-0.24325936311903096
371,3500000,4000000,0.4492099532583502
372,2500000,3000000,-0.5222699908822698
373,3000000,3500000,0.08806142201069916
374,3500000,4000000,0.4492099532583502
375,4000000,4500000,-0.24325936311903096
376,3500000,4000000,0.4492099532583502
377,5500000,6000000,-0.18579653761062442
378,3500000,4000000,0.4492099532583502
379,3500000,4000000,0.4492099532583502
380,3000000,3500000,0.08806142201069916
381,3500000,4000000,0.4492099532583502
382,3500000,4000000,0.4492099532583502
383,3500000,4000000,0.4492099532583502
