number,llb,lub,value
146,3500000,4000000,0.46698038722330926
147,5000000,8000000,-0.5234983808943877
148,1000000,3500000,-0.02038482703635117
149,7000000,9500000,0.839353601518725
150,1500000,2500000,-0.40286424735959336
151,2000000,4000000,-0.05831256868767101
152,6500000,8000000,-0.33272016779588753
153,1000000,3500000,-0.02038482703635117
154,4000000,4500000,-1.0814353844897255
155,5000000,7000000,-0.6419778315397369
156,4000000,5500000,-1.5355401182079182
157,2500000,3500000,-0.0008127855728310539
158,4000000,6500000,-1.5213279554585992
159,1500000,4000000,-0.07222715216735924
160,1500000,3000000,-0.43635544770463963
161,1500000,4500000,-0.28523779739135646
162,6000000,9000000,0.023624020955894273
163,2000000,2500000,-0.5252961577583879
164,3000000,5500000,-0.5540462701182554
165,6500000,7500000,-0.3124196541055061
166,5500000,6000000,0.5267893990477353
167,1500000,2500000,-0.40286424735959336
168,3500000,4500000,-0.19739558204442437
169,4000000,6000000,-1.0775947746124823
170,6500000,7000000,-0.19176898062633382
171,5000000,5500000,-0.05139054672679126
172,1500000,3500000,-0.175484645377539
173,2000000,3000000,-0.4670991270407804
174,2000000,3500000,-0.15423718809569378
175,1500000,4000000,-0.07222715216735924
176,1000000,3500000,-0.02038482703635117
177,2000000,4000000,-0.05831256868767101
178,5000000,8000000,-0.5234983808943877
179,2500000,3500000,-0.0008127855728310539
180,5000000,8000000,-0.5234983808943877
181,6500000,7000000,-0.19176898062633382
182,4000000,5500000,-1.5355401182079182
183,6500000,7500000,-0.3124196541055061
184,7000000,8500000,0.4528010628948807
185,4000000,5500000,-1.5355401182079182
186,1000000,2500000,-0.16853311115051295
187,5500000,8000000,-0.7585800744289147
188,2000000,4000000,-0.05831256868767101
189,5500000,7000000,-0.9862404422172534
190,1000000,3500000,-0.02038482703635117
191,2500000,4000000,0.14276957151457584
192,4500000,6500000,-1.6201101835293046
193,5000000,8000000,-0.5234983808943877
194,3000000,3500000,0.36523103358588255
195,2500000,4500000,-0.028659540943395866
196,4000000,7000000,-1.3310026361651535
197,4000000,5000000,-2.1635841604424875
198,2500000,5500000,-0.5590058615121102
199,3500000,6000000,-0.6728409309045189
200,4500000,5500000,-1.824404028013048
201,5500000,6500000,-1.337431255511926
202,6000000,7500000,-1.4263216120731628
203,1500000,3000000,-0.43635544770463963
204,2000000,5000000,-0.6107587412728354
205,3500000,4000000,0.46698038722330926
206,3000000,4500000,0.0765210802155034
207,5000000,8000000,-0.5234983808943877
208,3000000,5500000,-0.5540462701182554
209,6000000,9000000,0.023624020955894273
210,1500000,3000000,-0.43635544770463963
211,2000000,2500000,-0.5252961577583879
212,5500000,8000000,-0.7585800744289147
213,5000000,7000000,-0.6419778315397369
214,7000000,8000000,-0.3977561188860014
215,3500000,6000000,-0.6728409309045189
216,2500000,5500000,-0.5590058615121102
217,1500000,3500000,-0.175484645377539
218,5500000,7000000,-0.9862404422172534
219,2500000,4000000,0.14276957151457584
220,3500000,4000000,0.46698038722330926
221,1000000,3000000,-0.20601499991519814
222,5500000,7000000,-0.9862404422172534
223,4000000,7000000,-1.3310026361651535
224,2500000,4000000,0.14276957151457584
225,3500000,5500000,-0.9497491222955677
226,5500000,7000000,-0.9862404422172534
227,5500000,8500000,-0.29060648749588325
228,4500000,5500000,-1.824404028013048
229,5000000,6500000,-0.8026192283154041
230,6500000,8500000,0.34297682467220414
231,6000000,8000000,-1.2142465504442819
232,2000000,4000000,-0.05831256868767101
233,4000000,5500000,-1.5355401182079182
234,1000000,3500000,-0.02038482703635117
