date,tickersymbol
2018-01-03,NCT
2018-01-04,NTC
2018-01-04,SCS
2018-01-04,MCH
2018-01-05,MCH
2018-01-05,NTC
2018-01-05,SCS
2018-01-08,MCH
2018-01-08,SCS
2018-01-08,NTC
2018-01-09,NTC
2018-01-09,SCS
2018-01-09,NCT
2018-01-10,MCH
2018-01-10,SCS
2018-01-10,JVC
2018-01-11,SCS
2018-01-11,JVC
2018-01-11,MCH
2018-01-12,SCS
2018-01-12,MCH
2018-01-12,NVT
2018-01-15,NVT
2018-01-15,MCH
2018-01-15,SCS
2018-01-16,MCH
2018-01-16,NDN
2018-01-16,DPR
2018-01-17,MCH
2018-01-17,NDN
2018-01-17,DPR
2018-01-18,MCH
2018-01-18,NDN
2018-01-18,SCS
2018-01-19,MCH
2018-01-19,NDN
2018-01-19,NVT
2018-01-22,MCH
2018-01-22,NDN
2018-01-22,SCS
2018-01-23,NDN
2018-01-23,MCH
2018-01-23,SCS
2018-01-24,MCH
2018-01-24,NDN
2018-01-24,SCS
2018-01-25,MCH
2018-01-25,NVT
2018-01-25,NDN
2018-01-26,NVT
2018-01-26,LHG
2018-01-26,MCH
2018-01-29,BHN
2018-01-29,HDG
2018-01-29,NVT
2018-01-30,HDG
2018-01-30,BHN
2018-01-30,NDN
2018-01-31,HDG
2018-01-31,LHG
2018-01-31,MCH
2018-02-01,HDG
2018-02-01,LGL
2018-02-01,NBB
2018-02-02,SCS
2018-02-02,HDG
2018-02-02,NBB
2018-02-05,HDG
2018-02-05,PGS
2018-02-05,NBB
2018-02-06,PGS
2018-02-06,HDG
2018-02-06,NBB
2018-02-07,PGS
2018-02-07,HDG
2018-02-07,NBB
2018-02-08,HDG
2018-02-08,PGS
2018-02-08,NBB
2018-02-09,HDG
2018-02-09,NBB
2018-02-09,PGS
2018-02-12,HDG
2018-02-12,NBB
2018-02-12,SCS
2018-02-13,HDG
2018-02-13,NBB
2018-02-13,SCS
2018-02-21,SCS
2018-02-21,PGS
2018-02-22,SCS
2018-02-22,CSV
2018-02-22,VNG
2018-02-23,SCS
2018-02-23,CSV
2018-02-23,PGS
2018-02-26,SCS
2018-02-26,CSV
2018-02-26,TVC
2018-02-27,TVC
2018-02-27,CSV
2018-02-27,SCS
2018-02-28,TVC
2018-02-28,CSV
2018-02-28,SCS
2018-03-01,SCS
2018-03-01,CSV
2018-03-01,MCH
2018-03-02,TVC
2018-03-02,SCS
2018-03-02,CSV
2018-03-05,TVC
2018-03-05,SCS
2018-03-05,CSV
2018-03-06,SCS
2018-03-06,NVT
2018-03-06,MCH
2018-03-07,SCS
2018-03-07,TVC
2018-03-07,TDC
2018-03-08,SCS
2018-03-08,TVC
2018-03-08,LHG
2018-03-09,TVC
2018-03-09,SCS
2018-03-09,LHG
2018-03-12,TVC
2018-03-12,LHG
2018-03-12,SCS
2018-03-13,SCS
2018-03-13,TVC
2018-03-13,LHG
2018-03-14,TVC
2018-03-14,LHG
2018-03-14,SCS
2018-03-15,LHG
2018-03-15,VE9
2018-03-15,MCH
2018-03-16,LHG
2018-03-16,TVC
2018-03-16,SCS
2018-03-19,SCS
2018-03-19,MCH
2018-03-19,LHG
2018-03-20,TVC
2018-03-20,MCH
2018-03-20,SCS
2018-03-21,TVC
2018-03-21,SCS
2018-03-21,NVT
2018-03-22,MCH
2018-03-22,NVT
2018-03-22,SCS
2018-03-23,NVT
2018-03-23,SCS
2018-03-23,MCH
2018-03-26,NVT
2018-03-26,SCS
2018-03-26,MCH
2018-03-27,HLD
2018-03-27,MCH
2018-03-27,SCS
2018-03-28,MCH
2018-03-28,TVC
2018-03-28,NVT
2018-03-29,SCS
2018-03-29,HLD
2018-03-29,TVC
2018-03-30,SCS
2018-03-30,TVC
2018-03-30,HLD
2018-04-02,TVC
2018-04-02,SCS
2018-04-02,HLD
2018-04-03,TBD
2018-04-03,TVC
2018-04-03,MCH
2018-04-04,TVC
2018-04-04,VPI
2018-04-04,MCH
2018-04-05,VPI
2018-04-05,HLD
2018-04-05,TVC
2018-04-06,SCS
2018-04-06,VPI
2018-04-06,HLD
2018-04-09,DS3
2018-04-09,D2D
2018-04-09,HLD
2018-04-10,DS3
2018-04-10,VFG
2018-04-10,TVC
2018-04-11,VFG
2018-04-11,D2D
2018-04-11,DS3
2018-04-12,VFG
2018-04-12,DS3
2018-04-12,MCH
2018-04-13,VFG
2018-04-13,MCH
2018-04-13,HLD
2018-04-16,VFG
2018-04-16,MCH
2018-04-16,D2D
2018-04-17,MCH
2018-04-17,VFG
2018-04-17,HLD
2018-04-18,MCH
2018-04-18,VFG
2018-04-18,DHT
2018-04-19,SCS
2018-04-19,MCH
2018-04-19,HLD
2018-04-20,MCH
2018-04-20,VFG
2018-04-20,SCS
2018-04-23,MCH
2018-04-23,VFG
2018-04-23,HLD
2018-04-24,MCH
2018-04-24,VFG
2018-04-24,DHT
2018-04-26,MCH
2018-04-26,DHT
2018-04-26,VFG
2018-04-27,MCH
2018-04-27,VFG
2018-04-27,DHT
2018-05-02,VFG
2018-05-03,MCH
