date,tickersymbol
2017-07-04,CHP
2017-07-04,RAL
2017-07-05,PGD
2017-07-05,CHP
2017-07-05,DBD
2017-07-06,CHP
2017-07-06,DMC
2017-07-06,PGD
2017-07-07,DMC
2017-07-07,CHP
2017-07-07,PGD
2017-07-10,DMC
2017-07-10,PGD
2017-07-10,CHP
2017-07-11,DMC
2017-07-11,PGD
2017-07-11,DBD
2017-07-12,CHP
2017-07-12,PGD
2017-07-12,PET
2017-07-13,CHP
2017-07-13,PGD
2017-07-13,PET
2017-07-14,DMC
2017-07-14,CHP
2017-07-14,PGD
2017-07-17,CHP
2017-07-17,PGD
2017-07-17,DBD
2017-07-18,CHP
2017-07-18,DMC
2017-07-18,PGD
2017-07-19,CHP
2017-07-19,DBD
2017-07-19,DMC
2017-07-20,DBD
2017-07-20,CHP
2017-07-20,DMC
2017-07-21,CHP
2017-07-21,IMP
2017-07-21,RAL
2017-07-24,DBD
2017-07-24,CHP
2017-07-24,IMP
2017-07-25,DBD
2017-07-25,PGD
2017-07-25,CHP
2017-07-26,DBD
2017-07-26,NTC
2017-07-26,CSV
2017-07-27,DBD
2017-07-27,CSV
2017-07-27,VSH
2017-07-28,DBD
2017-07-28,CSV
2017-07-28,NTC
2017-07-31,DBD
2017-07-31,CSV
2017-07-31,NHA
2017-08-01,VSH
2017-08-01,DBD
2017-08-01,DCL
2017-08-02,DBD
2017-08-02,FCM
2017-08-02,HCD
2017-08-03,FCM
2017-08-03,DBD
2017-08-03,HCD
2017-08-04,DBD
2017-08-04,IJC
2017-08-04,PVC
2017-08-07,DBD
2017-08-07,PVC
2017-08-07,RDP
2017-08-08,DBD
2017-08-08,APC
2017-08-08,FCM
2017-08-09,APC
2017-08-09,DBD
2017-08-09,PVC
2017-08-10,APC
2017-08-10,DBD
2017-08-10,PVC
2017-08-11,DBD
2017-08-11,PVC
2017-08-11,FCM
2017-08-14,DBD
2017-08-14,PVC
2017-08-14,DGW
2017-08-15,DBD
2017-08-15,IDV
2017-08-15,SD9
2017-08-16,NAG
2017-08-16,DBD
2017-08-16,IDV
2017-08-17,NAG
2017-08-17,IDV
2017-08-17,NTC
2017-08-18,NAG
2017-08-18,NTC
2017-08-18,C21
2017-08-21,LAS
2017-08-21,NAG
2017-08-21,NTC
2017-08-22,NAG
2017-08-22,IDV
2017-08-22,NTC
2017-08-23,IDV
2017-08-23,APC
2017-08-23,NTC
2017-08-24,ACV
2017-08-24,NTC
2017-08-24,APC
2017-08-25,NTC
2017-08-25,APC
2017-08-25,IDV
2017-08-28,IDV
2017-08-28,NTC
2017-08-28,DBD
2017-08-29,IDV
2017-08-29,L14
2017-08-29,DBD
2017-08-30,IDV
2017-08-30,L14
2017-08-30,APC
2017-08-31,DBD
2017-08-31,IDV
2017-08-31,APC
2017-09-01,IDV
2017-09-01,NTC
2017-09-01,APC
2017-09-05,APC
2017-09-05,IDV
2017-09-05,NTC
2017-09-06,IDV
2017-09-06,APC
2017-09-06,DBD
2017-09-07,NTC
2017-09-07,TTH
2017-09-07,DBD
2017-09-08,NTC
2017-09-08,ACV
2017-09-08,DBD
2017-09-11,DBD
2017-09-11,ACV
2017-09-11,SPI
2017-09-12,ACV
2017-09-12,IDV
2017-09-12,SPI
2017-09-13,PGS
2017-09-13,ACV
2017-09-13,SPI
2017-09-14,PGS
2017-09-14,SPI
2017-09-14,BHN
2017-09-15,APC
2017-09-15,TCD
2017-09-15,ACV
2017-09-18,APC
2017-09-18,PGS
2017-09-18,THG
2017-09-19,D2D
2017-09-19,PGS
2017-09-19,THG
2017-09-20,NTC
2017-09-20,D2D
2017-09-20,PGS
2017-09-21,NTC
2017-09-21,BHN
2017-09-21,PGS
2017-09-22,NTC
2017-09-22,PGS
2017-09-22,ACV
2017-09-25,ACV
2017-09-25,NTC
2017-09-25,BHN
2017-09-26,BHN
2017-09-26,NTC
2017-09-26,D2D
2017-09-27,APC
2017-09-27,D2D
2017-09-27,BHN
2017-09-28,BHN
2017-09-28,NTC
2017-09-28,PGS
2017-09-29,D2D
2017-09-29,PGS
2017-09-29,NTC
2017-10-02,APC
2017-10-02,D2D
2017-10-02,NTC
2017-10-03,APC
2017-10-03,D2D
2017-10-03,PVC
2017-10-04,APC
2017-10-04,D2D
2017-10-04,NTC
