date,tickersymbol
2018-08-17,DGC
2018-08-17,VSC
2018-08-20,NNC
2018-08-20,DGC
2018-08-20,VSC
2018-08-21,DGC
2018-08-21,NNC
2018-08-21,GKM
2018-08-22,DGC
2018-08-22,NNC
2018-08-22,GKM
2018-08-23,DGC
2018-08-23,GKM
2018-08-23,AMV
2018-08-24,AMV
2018-08-24,CSV
2018-08-24,GKM
2018-08-27,NNC
2018-08-27,GKM
2018-08-27,DGC
2018-08-28,GKM
2018-08-28,DGC
2018-08-28,NNC
2018-08-29,GKM
2018-08-29,DGC
2018-08-29,NNC
2018-08-30,DGC
2018-08-30,GKM
2018-08-30,NNC
2018-08-31,GKM
2018-08-31,NNC
2018-08-31,KLF
2018-09-04,NNC
2018-09-04,GKM
2018-09-04,KLF
2018-09-05,NNC
2018-09-05,GKM
2018-09-05,L14
2018-09-06,NNC
2018-09-06,GKM
2018-09-06,L14
2018-09-07,DGC
2018-09-07,GKM
2018-09-07,TV2
2018-09-10,DGC
2018-09-10,GKM
2018-09-10,SAM
2018-09-11,DGC
2018-09-11,GKM
2018-09-11,TV2
2018-09-12,DGC
2018-09-12,GKM
2018-09-12,TV2
2018-09-13,DGC
2018-09-13,TV2
2018-09-13,MST
2018-09-14,BCG
2018-09-14,DGC
2018-09-14,MST
2018-09-17,PVB
2018-09-17,BCG
2018-09-17,DGC
2018-09-18,PVB
2018-09-18,BCG
2018-09-18,TV2
2018-09-19,PVB
2018-09-19,MBG
2018-09-19,SAM
2018-09-20,PVB
2018-09-20,BCG
2018-09-20,SAM
2018-09-21,PVB
2018-09-21,BCG
2018-09-21,LHG
2018-09-24,DGC
2018-09-24,LHG
2018-09-24,PVI
2018-09-25,PVI
2018-09-25,DGC
2018-09-25,LIX
2018-09-26,LIX
2018-09-26,DGC
2018-09-26,LHG
2018-09-27,PVI
2018-09-27,PVT
2018-09-27,C32
2018-09-28,PVI
2018-09-28,TV2
2018-09-28,PVC
2018-10-01,PVT
2018-10-01,PVC
2018-10-01,TV2
2018-10-02,PVI
2018-10-02,PVT
2018-10-02,LIX
2018-10-03,LIX
2018-10-03,PVI
2018-10-03,PVT
2018-10-04,PVI
2018-10-04,PVT
2018-10-04,NTC
2018-10-05,PVI
2018-10-05,APC
2018-10-05,NTC
2018-10-08,TV2
2018-10-08,APC
2018-10-08,NTC
2018-10-09,NTC
2018-10-09,APC
2018-10-09,LIX
2018-10-10,NTC
2018-10-10,APC
2018-10-10,LIX
2018-10-11,LIX
2018-10-11,TV2
2018-10-11,PVI
2018-10-12,LIX
2018-10-12,NTC
2018-10-12,APC
2018-10-15,LIX
2018-10-15,APC
2018-10-15,CSC
2018-10-16,CSC
2018-10-16,LIX
2018-10-16,APC
2018-10-17,LIX
2018-10-17,PVI
2018-10-17,TV2
2018-10-18,LIX
2018-10-18,PVI
2018-10-18,TV2
2018-10-19,CSC
2018-10-19,LIX
2018-10-19,PVI
2018-10-22,LIX
2018-10-22,KOS
2018-10-22,YEG
2018-10-23,CSC
2018-10-23,DGC
2018-10-23,YEG
2018-10-24,AMV
2018-10-24,DGC
2018-10-24,TNT
2018-10-25,AMV
2018-10-25,TNT
2018-10-25,YEG
2018-10-26,AMV
2018-10-26,TNT
2018-10-26,YEG
2018-10-29,AMV
2018-10-29,TNT
2018-10-29,YEG
2018-10-30,AMV
2018-10-30,TNT
2018-10-30,YEG
