date,tickersymbol
2018-01-17,MCH
2018-01-17,HVA
2018-01-18,MCH
2018-01-18,DHC
2018-01-18,HVA
2018-01-19,MCH
2018-01-19,DHC
2018-01-19,NVT
2018-01-22,MCH
2018-01-22,DHC
2018-01-22,TVN
2018-01-23,TVN
2018-01-23,MCH
2018-01-23,TV2
2018-01-24,MCH
2018-01-24,TIS
2018-01-24,TV2
2018-01-25,MCH
2018-01-25,NVT
2018-01-25,SJF
2018-01-26,DHC
2018-01-26,TVN
2018-01-26,NVT
2018-01-29,DHC
2018-01-29,TVN
2018-01-29,BHN
2018-01-30,TVN
2018-01-30,DHC
2018-01-30,BHN
2018-01-31,TVN
2018-01-31,POM
2018-01-31,DHC
2018-02-01,TVN
2018-02-01,MCH
2018-02-01,VTO
2018-02-02,SCS
2018-02-02,TVN
2018-02-02,MCH
2018-02-05,PGS
2018-02-05,TVN
2018-02-05,MCH
2018-02-06,PGS
2018-02-06,SCS
2018-02-07,PGS
2018-02-07,VIS
2018-02-07,MCH
2018-02-08,PGS
2018-02-08,VIS
2018-02-08,SCS
2018-02-09,PGS
2018-02-09,VIS
2018-02-09,SCS
2018-02-12,VIS
2018-02-12,SCS
2018-02-12,PGS
2018-02-13,VIS
2018-02-13,SCS
2018-02-13,TVN
2018-02-21,VIS
2018-02-21,SCS
2018-02-21,TVN
2018-02-22,VIS
2018-02-22,SCS
2018-02-22,TVN
2018-02-23,VIS
2018-02-23,SCS
2018-02-23,PGS
2018-02-26,SCS
2018-02-26,PGS
2018-02-26,VNG
2018-02-27,VIS
2018-02-27,SCS
2018-02-27,VNG
2018-02-28,SCS
2018-02-28,VNG
2018-02-28,MCH
2018-03-01,SCS
2018-03-01,MCH
2018-03-02,SCS
2018-03-02,MCH
2018-03-05,SCS
2018-03-05,NVT
2018-03-05,MCH
2018-03-06,SCS
2018-03-06,NVT
2018-03-06,MCH
2018-03-07,SCS
2018-03-07,NVT
2018-03-07,MCH
2018-03-08,SCS
2018-03-08,VIS
2018-03-08,NVT
2018-03-09,VIS
2018-03-09,SCS
2018-03-09,MCH
2018-03-12,VIS
2018-03-12,SCS
2018-03-12,MCH
